id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,material,internal_tag,image_path,image_exists
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011.0,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,Polyester,CLTH-013089,dataset\images\13089.jpg,True
18461,Men,Personal Care,Fragrance,Deodorant,White,Spring,2017.0,Casual,David Beckham Signature Men Deos,Mixed,CLTH-018461,dataset\images\18461.jpg,True
9036,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2011.0,Formal,Buckaroo Men Flores Black Formal Shoes,Mixed,CLTH-009036,dataset\images\9036.jpg,True
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,2012.0,Casual,Pitaraa Women Bronze Beaded Bracelet,Mixed,CLTH-048311,dataset\images\48311.jpg,True
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Sports,Fila Men's Round Neck Navy Blue T-shirt,Cotton,CLTH-007990,dataset\images\7990.jpg,True
56019,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017.0,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,Mixed,CLTH-056019,dataset\images\56019.jpg,True
21977,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Murcia Women Casual Brown Handbag,Leather,CLTH-021977,dataset\images\21977.jpg,True
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Formal,John Players Men Navy Blue Shirt,Cotton,CLTH-037812,dataset\images\37812.jpg,True
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,Cotton,CLTH-004729,dataset\images\4729.jpg,True
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,2012.0,Casual,John Players Men Brown Shirt,Cotton,CLTH-056825,dataset\images\56825.jpg,True
39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,2014.0,Casual,Gas Men Europa White Shoes,Mixed,CLTH-039988,dataset\images\39988.jpg,True
59051,Women,Footwear,Shoes,Flats,Black,Winter,2012.0,Casual,Carlton London Women Black & Gold Toned Flats,Mixed,CLTH-059051,dataset\images\59051.jpg,True
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,2011.0,Ethnic,Diva Women Embroided Green Kurta,Cotton,CLTH-020099,dataset\images\20099.jpg,True
58183,Women,Accessories,Bags,Handbags,White,Summer,2012.0,Casual,Rocky S Women White Handbag,Leather,CLTH-058183,dataset\images\58183.jpg,True
29742,Women,Accessories,Bags,Handbags,Teal,Summer,2012.0,Casual,Kiara Women Teal Handbag,Leather,CLTH-029742,dataset\images\29742.jpg,True
51658,Women,Accessories,Watches,Watches,Copper,Winter,2016.0,Casual,Fossil Women Copper Chronograph Watch CH2589,Metal,CLTH-051658,dataset\images\51658.jpg,True
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Jealous 21 Women's Pink T-shirt,Cotton,CLTH-003954,dataset\images\3954.jpg,True
18839,Men,Accessories,Belts,Belts,Black,Fall,2011.0,Formal,Peter England Men Formal Black Belt,Leather,CLTH-018839,dataset\images\18839.jpg,True
2886,Women,Footwear,Shoes,Flats,Brown,Winter,2015.0,Casual,Catwalk Women Leather Brown Flats,Mixed,CLTH-002886,dataset\images\2886.jpg,True
23278,Men,Accessories,Watches,Watches,Off White,Winter,2016.0,Casual,Maxima Ssteele Men Off White Watch,Metal,CLTH-023278,dataset\images\23278.jpg,True
28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012.0,Ethnic,W Women Printed Beige Kurta,Cotton,CLTH-028690,dataset\images\28690.jpg,True
8580,Men,Apparel,Topwear,Waistcoat,Grey,Fall,2011.0,Casual,Scullers Men  Grey Waistcoat,Mixed,CLTH-008580,dataset\images\8580.jpg,True
3168,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Nike Men's Incinerate MSL White Blue Shoe,Synthetic,CLTH-003168,dataset\images\3168.jpg,True
18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,2011.0,Sports,Puma Men Long Logo Black Bermuda,Polyester,CLTH-018005,dataset\images\18005.jpg,True
17871,Men,Apparel,Innerwear,Briefs,Maroon,Winter,2016.0,Casual,Levis Men Boxer Maroon Brief,Mixed,CLTH-017871,dataset\images\17871.jpg,True
9452,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Formal,John Miller Men Stripes White Red Shirts,Cotton,CLTH-009452,dataset\images\9452.jpg,True
38402,Women,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Baggit Women Hood Dabang Black Belt,Leather,CLTH-038402,dataset\images\38402.jpg,True
44984,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Maxima Women White Dial Watch,Metal,CLTH-044984,dataset\images\44984.jpg,True
10268,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2012.0,Formal,Clarks Men Hang Work Leather Black Formal Shoes,Mixed,CLTH-010268,dataset\images\10268.jpg,True
45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012.0,Ethnic,Vishudh Women Brown Kurta,Cotton,CLTH-045856,dataset\images\45856.jpg,True
32138,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016.0,Casual,Playboy Men Blue Titanium Briefs,Mixed,CLTH-032138,dataset\images\32138.jpg,True
59435,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012.0,Formal,Arrow Men Black Formal Shoes,Mixed,CLTH-059435,dataset\images\59435.jpg,True
5891,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Puma Men's Stripe Polo Black T-shirt,Cotton,CLTH-005891,dataset\images\5891.jpg,True
38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Nike Women Purple Polo T-shirt,Cotton,CLTH-038630,dataset\images\38630.jpg,True
4943,Men,Apparel,Topwear,Shirts,White,Summer,2011.0,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,Cotton,CLTH-004943,dataset\images\4943.jpg,True
11188,Men,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Carrera Men Dial steel finish strap Silver Watches,Metal,CLTH-011188,dataset\images\11188.jpg,True
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Wrangler Men Motor Rider Red T-Shirts,Cotton,CLTH-010866,dataset\images\10866.jpg,True
59607,Women,Apparel,Saree,Sarees,Grey,Fall,2012.0,Ethnic,FNF Pink & Grey Wedding Collection Sari,Mixed,CLTH-059607,dataset\images\59607.jpg,True
15528,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Puma Men Scribble Black Tshirts,Cotton,CLTH-015528,dataset\images\15528.jpg,True
45258,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,Metal,CLTH-045258,dataset\images\45258.jpg,True
42841,Women,Accessories,Bags,Handbags,Beige,Summer,2012.0,Casual,French Connection Women Beige Handbag,Leather,CLTH-042841,dataset\images\42841.jpg,True
22198,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012.0,Casual,Timberland Men Black Casual Shoes,Mixed,CLTH-022198,dataset\images\22198.jpg,True
29570,Men,Footwear,Shoes,Casual Shoes,Purple,Summer,2012.0,Casual,Vans Men Classic Slip-On Purple & Black Shoes,Mixed,CLTH-029570,dataset\images\29570.jpg,True
43993,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,2017.0,Casual,Police Women Passion Perfume,Mixed,CLTH-043993,dataset\images\43993.jpg,True
6628,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,ADIDAS Men's Lowell White Silver Shoe,Synthetic,CLTH-006628,dataset\images\6628.jpg,True
54924,Men,Apparel,Bottomwear,Shorts,Blue,Summer,2012.0,Casual,Do U Speak Green Men Blue Shorts,Polyester,CLTH-054924,dataset\images\54924.jpg,True
26538,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2012.0,Casual,ID Men Red Shoes,Mixed,CLTH-026538,dataset\images\26538.jpg,True
35913,Women,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,Peperone Women Black & White Handbag,Leather,CLTH-035913,dataset\images\35913.jpg,True
49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,2012.0,Casual,Vans Men Khaki Shoes,Mixed,CLTH-049495,dataset\images\49495.jpg,True
9660,Men,Apparel,Topwear,Shirts,Pink,Fall,2011.0,Casual,Indigo Nation Men Reversible Bling Pink Shirts,Cotton,CLTH-009660,dataset\images\9660.jpg,True
2288,Women,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,Nike Women Black T-shirt,Cotton,CLTH-002288,dataset\images\2288.jpg,True
23876,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011.0,Casual,ADIDAS Men Blue Sweatshirt,Polyester,CLTH-023876,dataset\images\23876.jpg,True
18237,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Manchester United Men Solid Red Tshirt,Cotton,CLTH-018237,dataset\images\18237.jpg,True
54118,Women,Footwear,Shoes,Heels,Black,Winter,2012.0,Casual,Rocia Women Black Flats,Mixed,CLTH-054118,dataset\images\54118.jpg,True
2872,Women,Footwear,Shoes,Heels,Brown,Winter,2015.0,Casual,Catwalk Women Leather Flats,Mixed,CLTH-002872,dataset\images\2872.jpg,True
49653,Women,Apparel,Topwear,Tops,Green,Summer,2012.0,Casual,Mineral Women Green Top,Cotton,CLTH-049653,dataset\images\49653.jpg,True
8574,Women,Footwear,Sandal,Sandals,Pink,Fall,2011.0,Casual,Crocs Dora Boots Pink Sandals,Leather,CLTH-008574,dataset\images\8574.jpg,True
16957,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Image Men Sunglasses,Plastic,CLTH-016957,dataset\images\16957.jpg,True
19123,Men,Footwear,Flip Flops,Flip Flops,Silver,Fall,2011.0,Casual,Lotto Men XL Water Man Silver Slippers,Rubber,CLTH-019123,dataset\images\19123.jpg,True
13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,Cotton,CLTH-013419,dataset\images\13419.jpg,True
17885,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,2016.0,Casual,Levis Men Comfort Style Grey Innerwear Vest,Mixed,CLTH-017885,dataset\images\17885.jpg,True
43369,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2013.0,Casual,Reebok Men Black Possession Flip Flops,Rubber,CLTH-043369,dataset\images\43369.jpg,True
48781,Women,Accessories,Jewellery,Pendant,Silver,Summer,2012.0,Casual,Lucera Women Silver Pendant,Mixed,CLTH-048781,dataset\images\48781.jpg,True
44970,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Maxima Men White Dial Analog Chronograph Watch,Metal,CLTH-044970,dataset\images\44970.jpg,True
56489,Women,Personal Care,Nails,Nail Polish,Bronze,Spring,2017.0,,Streetwear Ash Nail Polish # 31,Mixed,CLTH-056489,dataset\images\56489.jpg,True
39524,Unisex,Accessories,Bags,Laptop Bag,Orange,Summer,2012.0,Casual,Peter England Unisex Orange Sleeve Bag,Mixed,CLTH-039524,dataset\images\39524.jpg,True
33822,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Puma Men Axis White & Grey Sports Shoes,Synthetic,CLTH-033822,dataset\images\33822.jpg,True
58513,Women,Apparel,Topwear,Tops,Off White,Summer,2012.0,Casual,Tonga Women Maroon Top,Cotton,CLTH-058513,dataset\images\58513.jpg,True
25947,Women,Accessories,Scarves,Scarves,Brown,Summer,2012.0,Casual,Femella Women Brown Scarf,Mixed,CLTH-025947,dataset\images\25947.jpg,True
52029,Unisex,Apparel,Topwear,Rain Jacket,Coffee Brown,Summer,2012.0,,Just Natural Unisex Charcoal Rain Jacket,Mixed,CLTH-052029,dataset\images\52029.jpg,True
5865,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,ADIDAS Men's Twelve Faster T-shirt,Cotton,CLTH-005865,dataset\images\5865.jpg,True
39716,Women,Apparel,Dress,Dresses,Blue,Summer,2012.0,Casual,Arrow Woman Women Blue Dress,Chiffon,CLTH-039716,dataset\images\39716.jpg,True
25349,Men,Apparel,Innerwear,Briefs,Red,Summer,2016.0,Casual,Levis Men Red Brief,Mixed,CLTH-025349,dataset\images\25349.jpg,True
11940,Men,Footwear,Sandal,Sandals,Black,Summer,2011.0,Casual,Ganuchi Men Casual Black Sandals,Leather,CLTH-011940,dataset\images\11940.jpg,True
55802,Women,Apparel,Loungewear and Nightwear,Night suits,White,Summer,2017.0,Casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,Mixed,CLTH-055802,dataset\images\55802.jpg,True
29584,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Indigo Nation Men Printed Black T-shirt,Cotton,CLTH-029584,dataset\images\29584.jpg,True
43967,Women,Personal Care,Fragrance,Perfume and Body Mist,Red,Spring,2017.0,Casual,DKNY Women Red Delicious Perfume,Mixed,CLTH-043967,dataset\images\43967.jpg,True
28456,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2012.0,Sports,Urban Yoga Women Blue Skirt With Leggings,Chiffon,CLTH-028456,dataset\images\28456.jpg,True
34009,Girls,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,Gini and Jony Girls Black Top,Cotton,CLTH-034009,dataset\images\34009.jpg,True
19311,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Nike Men Air Rift MTR White Casual Shoe,Mixed,CLTH-019311,dataset\images\19311.jpg,True
42089,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,ADIDAS Men White Corona Sports Shoes,Synthetic,CLTH-042089,dataset\images\42089.jpg,True
22950,Unisex,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fastrack Unisex Black Dial Watch 9915PP13,Metal,CLTH-022950,dataset\images\22950.jpg,True
49461,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2012.0,Casual,Vans Men Blue Era Scilla Plaid Shoes,Mixed,CLTH-049461,dataset\images\49461.jpg,True
8746,Unisex,Footwear,Flip Flops,Flip Flops,Navy Blue,Summer,2015.0,Casual,Crocs Kids Navy Blue Clogs,Rubber,CLTH-008746,dataset\images\8746.jpg,True
9694,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Classic Polo Men Vulcan White Polo Tshirts,Cotton,CLTH-009694,dataset\images\9694.jpg,True
23882,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,2011.0,Sports,Fila Men Destiny Grey Sports Shoes,Synthetic,CLTH-023882,dataset\images\23882.jpg,True
34835,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2012.0,Sports,ADIDAS Men Blue Chill Sports Shoes,Synthetic,CLTH-034835,dataset\images\34835.jpg,True
15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011.0,Casual,Turtle Check Men Yellow Shirt,Cotton,CLTH-015984,dataset\images\15984.jpg,True
41268,Men,Accessories,Wallets,Wallets,Black,Summer,2012.0,Casual,Arrow Men Black Wallet,Mixed,CLTH-041268,dataset\images\41268.jpg,True
11518,Women,Footwear,Shoes,Heels,Grey,Winter,2015.0,Casual,Catwalk Women Gun Metal Grey Heels,Mixed,CLTH-011518,dataset\images\11518.jpg,True
14856,Women,Accessories,Wallets,Wallets,Beige,Summer,2011.0,Casual,United Colors of Benetton Women Solid Beige Wallets,Mixed,CLTH-014856,dataset\images\14856.jpg,True
33648,Men,Footwear,Sandal,Sandals,Brown,Summer,2012.0,Casual,Lotto Men Ridge Brown Sandals,Leather,CLTH-033648,dataset\images\33648.jpg,True
59297,Men,Apparel,Topwear,Shirts,White,Fall,2012.0,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt,Cotton,CLTH-059297,dataset\images\59297.jpg,True
28032,Men,Apparel,Innerwear,Briefs,White,Summer,2016.0,Casual,Jockey ELANCE Men Bikini White Brief 1005,Mixed,CLTH-028032,dataset\images\28032.jpg,True
27846,Women,Apparel,Topwear,Blazers,Charcoal,Summer,2012.0,Formal,Scullers For Her Charcoal Blazer,Polyester,CLTH-027846,dataset\images\27846.jpg,True
26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,2012.0,Casual,Jealous 21 Women Black Jeans,Denim,CLTH-026994,dataset\images\26994.jpg,True
49839,Women,Footwear,Flip Flops,Flip Flops,Red,Winter,2012.0,Casual,iPanema Women Red Flip Flops,Rubber,CLTH-049839,dataset\images\49839.jpg,True
31923,Women,Accessories,Bags,Handbags,Blue,Summer,2012.0,Casual,Fabindia Women Blue Silk Sling Bag,Leather,CLTH-031923,dataset\images\31923.jpg,True
2618,Women,Footwear,Shoes,Flats,Silver,Spring,2010.0,Casual,Carlton London Women Silver Wedge Sandal,Mixed,CLTH-002618,dataset\images\2618.jpg,True
54588,Women,Apparel,Topwear,Kurtas,Green,Summer,2012.0,Ethnic,Sushilas Women Printed Green Kurta,Cotton,CLTH-054588,dataset\images\54588.jpg,True
49005,Women,Accessories,Jewellery,Ring,Silver,Summer,2012.0,Casual,Lucera Women Silver Ring,Mixed,CLTH-049005,dataset\images\49005.jpg,True
8322,Boys,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,Cotton,CLTH-008322,dataset\images\8322.jpg,True
13841,Unisex,Accessories,Watches,Watches,White,Winter,2016.0,Casual,ADIDAS Unisex Three Small Dials White Watches,Metal,CLTH-013841,dataset\images\13841.jpg,True
28200,Men,Accessories,Eyewear,Sunglasses,Copper,Winter,2016.0,Casual,Ray-Ban Men Active Lifestyle Copper Sunglasses,Plastic,CLTH-028200,dataset\images\28200.jpg,True
12993,Unisex,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,ADIDAS Kids Adispeed Black Sports Shoes,Synthetic,CLTH-012993,dataset\images\12993.jpg,True
7158,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Scullers Men  Green Check Shirt,Cotton,CLTH-007158,dataset\images\7158.jpg,True
18495,Men,Footwear,Sandal,Sandals,White,Fall,2011.0,Casual,Puma Men Fashion Cat White Slipper,Leather,CLTH-018495,dataset\images\18495.jpg,True
8110,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fastrack Men Economy 2 Analg Black Watch,Metal,CLTH-008110,dataset\images\8110.jpg,True
19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,Polyester,CLTH-019547,dataset\images\19547.jpg,True
7964,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Puma Men's Large Logo Graphic Black T-shirt,Cotton,CLTH-007964,dataset\images\7964.jpg,True
36934,Women,Personal Care,Fragrance,Perfume and Body Mist,Gold,Spring,2017.0,Casual,Giorgio Armani Women Idole Perfume,Mixed,CLTH-036934,dataset\images\36934.jpg,True
39140,Women,Apparel,Apparel Set,Kurta Sets,Black,Summer,2012.0,Ethnic,Aneri Women Black & Maroon Salwar Suit,Mixed,CLTH-039140,dataset\images\39140.jpg,True
20851,Women,Accessories,Bags,Clutches,Red,Winter,2015.0,Casual,Spice Art Women Ribbon Embroidery Red Clutch,Mixed,CLTH-020851,dataset\images\20851.jpg,True
41866,Men,Footwear,Sandal,Sandals,Beige,Fall,2015.0,Casual,Estd. 1977 Men Beige & Green Sandals,Leather,CLTH-041866,dataset\images\41866.jpg,True
58177,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,Rocky S Women Brown Handbag,Leather,CLTH-058177,dataset\images\58177.jpg,True
44528,Men,Footwear,Sandal,Sandals,Black,Summer,2012.0,Casual,Coolers Men Black Sandals,Leather,CLTH-044528,dataset\images\44528.jpg,True
16392,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Levis Men Check Red Shirts,Cotton,CLTH-016392,dataset\images\16392.jpg,True
51455,Women,Apparel,Topwear,Shrug,Pink,Summer,2012.0,Casual,Tonga Women Pink Printed Shrug,Mixed,CLTH-051455,dataset\images\51455.jpg,True
50587,Men,Apparel,Innerwear,Briefs,Grey,Summer,2016.0,Casual,Chromozome Men Grey Briefs,Mixed,CLTH-050587,dataset\images\50587.jpg,True
17240,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt,Cotton,CLTH-017240,dataset\images\17240.jpg,True
47530,Women,Footwear,Shoes,Flats,Copper,Winter,2012.0,Casual,Portia Women Copper-Toned & Brown Sandals,Mixed,CLTH-047530,dataset\images\47530.jpg,True
6617,Men,Apparel,Topwear,Shirts,Black,Summer,2011.0,Casual,Spykar Men Black and white Check Shirt,Cotton,CLTH-006617,dataset\images\6617.jpg,True
12732,Unisex,Accessories,Bags,Backpacks,Black,Fall,2011.0,Sports,Nike Unisex Swoosh Black Backpack,Canvas,CLTH-012732,dataset\images\12732.jpg,True
3365,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Myntra Men's Brain Black T-shirt,Cotton,CLTH-003365,dataset\images\3365.jpg,True
42042,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes,Synthetic,CLTH-042042,dataset\images\42042.jpg,True
23849,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes,Mixed,CLTH-023849,dataset\images\23849.jpg,True
43190,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Fastrack Women White Dial Watch,Metal,CLTH-043190,dataset\images\43190.jpg,True
48578,Men,Accessories,Jewellery,Bracelet,Steel,Summer,2012.0,Casual,Revv Men Steel Bracelet,Mixed,CLTH-048578,dataset\images\48578.jpg,True
30462,Women,Apparel,Innerwear,Bra,Black,Summer,2014.0,Casual,Lovable Women All Day Long Black Bra,Mixed,CLTH-030462,dataset\images\30462.jpg,True
18208,Men,Accessories,Headwear,Caps,White,Fall,2011.0,Casual,Manchester United Men Solid White Cap,Mixed,CLTH-018208,dataset\images\18208.jpg,True
54127,Women,Footwear,Shoes,Heels,Black,Winter,2012.0,Casual,Rocia Women Black Heels,Mixed,CLTH-054127,dataset\images\54127.jpg,True
10065,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011.0,Casual,Puma Men ducati logo tee Yellow Tshirts,Cotton,CLTH-010065,dataset\images\10065.jpg,True
24250,Men,Footwear,Shoes,Casual Shoes,White,Fall,2012.0,Casual,Numero Uno Men White Casual Shoes,Mixed,CLTH-024250,dataset\images\24250.jpg,True
32335,Men,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Q&Q Men Silver-Toned Dial Analogue Watch Q252J404Y,Metal,CLTH-032335,dataset\images\32335.jpg,True
25382,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,2016.0,Casual,Levis Men White Innerwear Vest,Mixed,CLTH-025382,dataset\images\25382.jpg,True
56670,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Maxima Men Black Dial Watch,Metal,CLTH-056670,dataset\images\56670.jpg,True
5092,Men,Apparel,Topwear,Tshirts,Purple,Summer,2011.0,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt,Cotton,CLTH-005092,dataset\images\5092.jpg,True
10859,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts,Cotton,CLTH-010859,dataset\images\10859.jpg,True
59638,Women,Apparel,Saree,Sarees,Green,Fall,2012.0,Ethnic,FNF Green Wedding Collection Sari,Mixed,CLTH-059638,dataset\images\59638.jpg,True
